T,Eye0_fr,Eye1_fr,Scene_fr,L_gv_1,L_gv_2,L_gv_3,R_gv_1,R_gv_2,R_gv_3,Confidence,POR_1,POR_2,L_pd,R_pd
535489.8045735,6664,6664,1669,-0.251233803002764,-0.436113373177216,0.864110352885995,0.711957063168169,-0.33225809028862,0.618645053033414,1,310.279884903067,1254.95193999768,4.54976104777069,3.81095197529927
535489.8087735,6665,6665,1669,-0.251391753081802,-0.435669042001397,0.864288535342245,0.711957063168169,-0.33225809028862,0.618645053033414,1,310.731454143874,1254.7922683023,4.57285098780003,3.81520080552257
535489.8129735,6665,6665,1669,-0.251391753081802,-0.435669042001397,0.864288535342245,0.712093184275719,-0.332214660039631,0.618511694766413,1,310.822427314536,1255.06398432739,4.57929357563806,3.81661761296163
535489.8171735,6666,6666,1669,-0.251695150703799,-0.436009628255151,0.864028445817033,0.712093184275719,-0.332214660039631,0.618511694766413,1,310.490146227924,1254.82091215952,4.56568208113572,3.8203096708832
535489.8213735,6666,6666,1669,-0.251695150703799,-0.436009628255151,0.864028445817033,0.711923162941048,-0.332612845717468,0.618493415431193,1,310.028967413327,1254.50500114152,4.54911590667736,3.82803207322856
535489.8255735,6667,6667,1669,-0.252018165877438,-0.435811909841549,0.864034040595643,0.711923162941048,-0.332612845717468,0.618493415431193,1,310.238232093129,1254.21586635636,4.53937936162784,3.83543868320315
535489.8297735,6667,6667,1669,-0.252018165877438,-0.435811909841549,0.864034040595643,0.711972033926461,-0.33283139267322,0.618319567018402,1,310.033970334621,1254.32956098592,4.54061809090829,3.8380639695352
535489.8339735,6668,6668,1669,-0.251619907720726,-0.435902924835284,0.864104196355196,0.711972033926461,-0.33283139267322,0.618319567018402,1,309.929635150572,1254.67783124585,4.55049681792815,3.83213192932147
535489.8381735,6668,6668,1670,-0.251619907720726,-0.435902924835284,0.864104196355196,0.711788605894957,-0.332487088529854,0.618715860859455,1,310.21459068682,1254.28419742021,4.56227745782172,3.81996008245196
535489.8423735,6669,6669,1670,-0.252228799879601,-0.436158582902628,0.863797616963411,0.711788605894957,-0.332487088529854,0.618715860859455,1,309.977405627171,1253.77230657424,4.56720970584148,3.81280594679765
